Name,Type,Default,Doc
filter,bool,FALSE,"If True, this control is combined with a filter input area."
multiple,bool,FALSE,"If True, the user can select multiple items."
width,str|int,"""360px""","The width, in CSS units, of this element."
height,str|int,,"The height, in CSS units, of this element."
dropdown,bool,FALSE,"If True, the list of items is shown in a dropdown menu.<br/>
You cannot use the filter in that situation."
label,str,None,The label associated with the selector when in dropdown mode.
>lovComp,,,
>propagate,,,
