Name,Type,Default,Doc
change_delay,int,<i>App config</i>,"Minimum time between triggering two <i>on_change</i> calls.
The default value is defined at the application configuration level by the <strong>change_delay</strong> configuration option. if None, the delay is set to 300ms."
on_action,Callback,,"Name of a function that is triggered when a specific key is pressed.
The parameters of that function are all optional:
<ul>
<li>state (State^): state instance.</li>
<li>id (optional[str]): the identifier of the dialog.</li>
<li>action (optional[str]): the name of the action that provoked the change.</li>
<li>payload
<ul>
<li>args (List):
<ul><li>key name</li><li>variable name</li><li>current value</li></ul>
</li>
</ul>
</li>
</ul>
"
action_keys,str,"""Enter""",";-separated list of supported keys.
Authorized values are Enter, Escape, F1, F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12"
