Name,Type,Default,Doc
*display,dynamic(any),,"The label to be displayed.
This can be formatted if it is a numerical value."
value,"dynamic(int,float)",<i>min</i>,"The location of the label on the [<i>min</i>, <i>max</i>] range."
min,int|float,0,The minimum value of the range.
max,int|float,100,The maximum value of the range.
format,str,,"The format to use when displaying the value.
This uses the <code>printf</code> syntax."
orientation,str,"""horizontal""","The orientation of this slider."
width,str,None,"The width, in CSS units, of the indicator (used when orientation is horizontal)."
height,str,None,"The height, in CSS units, of the indicator (used when orientation is vartical)."
>shared,,,
