Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.610254358,5.902576393,3.163104664,1.498612445,0.83443373,1.090960291,0.811182834,1.066043297,1.116225447,1.006791798,1.159761363,1.180062452,1.028353553,1.159732241,1.253034693,1.49601075,1.517763067,1.773161496,1.956930336,1.561583522,1.508351191,1.71734336,1.9831921,1.89812717,1.881607731,1.825292192,1.726752782,1.806581049,1.880246268
Antigua and Barbuda,0.677418163,0.866666667,1.838457269,1.487469357,1.590447772,2.561321317,5.81461143,9.221391248,15.83561249,19.79105628,7.198709959,6.60987662,5.832070353,5.18515609,6.798488306,11.2927989,6.469135406,7.491859979,7.920597053,6.570623749,2.311844296,1.721066857,4.748462286,1.365205005,2.374077431,4.035866311,4.037892282,4.456516455,4.631399981,4.61280178,3.358226856,3.472057826,4.49898385,3.800720617,3.720182735,3.931733458,3.98996808,4.183691969,4.507026865,4.419208828,4.341705369,4.532974149,4.98097014,5.169522513,4.978406163,5.033021532,5.319470471,5.474300539,5.621003818,16.02434779,5.566284221,5.714285714,7.96398509,5.136050705,5.18571336,5.236665206,5.289885738,5.239717055,5.504663385
Australia,8.582936643,8.641569017,8.835688047,9.226439909,9.759073431,10.62232139,10.32809244,10.9556248,11.21016771,11.60055435,11.80289054,11.80911757,11.95163155,12.77968685,12.55966873,12.65989981,12.41679178,13.23189614,14.06985862,14.12909198,15.02491601,15.43250084,15.42493181,14.64008413,15.2209753,15.3084102,14.98057315,15.7469578,15.79616778,16.51986292,15.44673046,15.31532053,15.33923978,15.4163129,15.60739289,15.99214254,16.36120365,16.56693849,17.51162418,17.59695657,17.68965697,17.76953588,17.95749921,17.69202931,18.14789789,18.11785357,18.12067891,18.50285198,18.28304124,18.20742496,17.58144496,17.26811037,16.96925656,16.398646,15.7558761,15.7864494,15.87207954,15.7386474,15.47551649
Austria,4.373318828,4.496361641,4.755361673,5.155193747,5.391003988,5.252196533,5.361724683,5.417736727,5.711110104,6.006325178,6.788807307,6.953651912,7.448516814,7.930866985,7.562697278,7.176844855,7.721250012,7.428063284,7.601371804,8.158846402,6.928479,7.416160614,7.112124941,6.874373273,7.214278667,7.230766353,7.144304852,7.623419815,7.032030698,7.102448997,7.58936421,8.049113779,7.355202189,7.311242503,7.34490087,7.697264741,8.154273323,8.059697484,8.107272237,7.888819322,7.929785513,8.444109161,8.583317135,9.16834402,9.275613726,9.266113819,8.96156938,8.587802018,8.499673616,7.721144201,8.365015011,8.135474781,7.723614414,7.753699576,7.253383781,7.306745266,7.255626516,7.482751479,7.146637625
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03464171,9.218814468,6.044432403,7.140760507,6.262998552,5.95575797,5.201597321,5.035562785,4.977884494,4.857975009,4.971050866,4.773646316,4.665961001,4.17046186,4.104014928,4.367332591,4.027320247,3.205807978,3.375402241,2.809804093,2.667231553,3.113457396,3.309026974,3.333403775,3.422100645,3.333906429,3.347061821,3.244356904,3.221402183
Burundi,0,0,0.015135589,0.016081076,0.01575228,0.011850524,0.015035818,0.014653504,0.016483714,0.021482705,0.017918294,0.020776204,0.020545403,0.02034329,0.025141042,0.020807759,0.023338911,0.02568696,0.025998768,0.027154656,0.035282549,0.036957755,0.036002472,0.045658697,0.047612082,0.048627483,0.048025424,0.049601931,0.043986664,0.05044046,0.034933155,0.041330311,0.035176778,0.036219049,0.035599471,0.036746014,0.036302971,0.037568624,0.037183351,0.036699403,0.040759564,0.032181215,0.032815652,0.024605014,0.022435081,0.021724794,0.024974204,0.024166184,0.02461204,0.023816155,0.036885031,0.041301991,0.042180439,0.042975579,0.03961683,0.040354196,0.043859641,0.052646114,0.05279463
Belgium,9.941594074,10.10387199,10.64118963,11.38692874,11.05365472,11.14165555,11.04201943,11.21725675,12.32568713,12.81544961,13.01017881,12.56342518,13.47269526,14.2554864,13.83696555,12.4583039,13.24167979,12.87543872,13.80705794,14.23923382,13.72329627,12.57955507,11.92668478,10.31207942,10.69696639,10.59744025,10.43154171,10.44717278,10.13514385,10.81351494,10.96677472,11.39089005,11.18250206,10.91876374,11.35869013,11.30237113,11.76078263,11.45635922,11.70341139,11.29525399,11.44055603,11.50432068,10.72798863,11.13131453,10.94122455,10.55578231,10.30057192,9.843116218,9.984152154,9.231701442,9.771847058,8.658064348,8.549615681,8.65727005,8.043495541,8.444061111,8.323756718,8.155491115,8.179711061
Benin,0.0663542,0.052048673,0.054208783,0.047588467,0.055303618,0.057114887,0.042382648,0.052284057,0.055170749,0.070750357,0.096952689,0.098556227,0.127712816,0.122481397,0.127701368,0.135891059,0.077784241,0.086509905,0.103019269,0.101339802,0.139097284,0.11231017,0.125105246,0.112553157,0.120856597,0.173986363,0.155688132,0.118857301,0.118496787,0.130855059,0.07632838,0.064083941,0.067519349,0.076062691,0.070000866,0.077892803,0.172292933,0.197400553,0.200918817,0.213081973,0.222838921,0.260007167,0.290594073,0.316465963,0.326451487,0.348273908,0.466112921,0.519232293,0.500177362,0.525450062,0.552218691,0.526380933,0.487190488,0.501769487,0.535635874,0.566378737,0.665006634,0.65860166,0.688722324
Burkina Faso,0.0091119,0.018729901,0.017003109,0.017504238,0.02157528,0.019841256,0.01953367,0.019216829,0.018894945,0.021889876,0.025426378,0.026268927,0.0276984,0.028443167,0.033998422,0.035749138,0.03331494,0.038968372,0.053341694,0.06100989,0.063420246,0.079795384,0.080427238,0.080923755,0.06183697,0.061686811,0.060571912,0.063518663,0.066263315,0.095737229,0.066961502,0.066297713,0.065611787,0.064904659,0.063158427,0.063429892,0.069412751,0.076883034,0.080228125,0.082427108,0.090455241,0.085394315,0.082973396,0.086924748,0.086719114,0.085680641,0.101235265,0.117877953,0.130022856,0.127467638,0.133929621,0.136799629,0.163536225,0.173961012,0.171727227,0.187735194,0.187704296,0.212053871,0.216186485
Bangladesh,0.294804972,0.296923775,0.317335601,0.35467377,0.354201478,0.36064111,0.355616101,0.365431271,0.406076996,0.3827899,0.378902959,0.352141847,0.052672147,0.067335594,0.0678005,0.06950239,0.077738835,0.079116672,0.079755393,0.08575201,0.095911717,0.097003326,0.102453194,0.095609983,0.103187674,0.112760309,0.123010388,0.123994996,0.137961112,0.133612957,0.111658248,0.102557668,0.109460957,0.113909624,0.120101811,0.1437007,0.142966515,0.157872086,0.156908688,0.160636276,0.169593942,0.198172464,0.207053126,0.212401963,0.222868792,0.235263647,0.254752384,0.266296779,0.288141373,0.306664813,0.342739974,0.364566607,0.384025155,0.396566115,0.412898523,0.458797539,0.466776363,0.492906613,0.512837314
