District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female
Surkhet,Barahtal Rural Municipality,6240,6059,25562,12248,13314
Surkhet,Bheriganga Municipality,11599,10524,48581,22833,25748
Surkhet,Birendranagar Municipality,39391,31847,154886,75921,78965
Surkhet,Chaukune Rural Municipality,5358,4897,27006,13289,13717
Surkhet,Chingad Rural Municipality,3240,3066,15752,7405,8347
Surkhet,Gurbhakot Municipality,11923,10960,49394,23162,26232
Surkhet,Lekbeshi Municipality,7475,7134,31791,14978,16813
Surkhet,Panchpuri Municipality,7979,7326,36062,17530,18532
Surkhet,Simta Rural Municipality,6121,5475,24298,10740,13558
Dailekh,Aathabis Municipality,6246,4951,31839,15565,16274
Dailekh,Bhagawatimai Rural Municipality,3627,3344,18366,9083,9283
Dailekh,Bhairabi Rural Municipality,4198,3755,17981,8377,9604
Dailekh,Chamunda Bindrasaini Municipality,5192,4475,26575,13044,13531
Dailekh,Dullu Municipality,9208,8353,39582,18506,21076
Dailekh,Dungeshwor Rural Municipality,3436,3163,14597,6940,7657
Dailekh,Gurans Rural Municipality,4562,4358,21284,10483,10801
Dailekh,Mahabu Rural Municipality,4021,3652,18037,8316,9721
Dailekh,Narayan Municipality,6668,5421,25803,12222,13581
Dailekh,Naumule Rural Municipality,4517,4162,20589,10032,10557
Dailekh,Thantikandh Rural Municipality,4033,3142,18666,9107,9559
Jajarkot,Barekot Rural Municipality,3901,3485,22038,11010,11028
Jajarkot,Bheri Municipality,8962,7745,38370,18636,19734
Jajarkot,Chhedagad Municipality,7431,6888,38027,18852,19175
Jajarkot,Junichande Rural Municipality,4356,3967,23823,11979,11844
Jajarkot,Kuse Rural Municipality,4520,4199,23529,11636,11893
Jajarkot,Shiwalaya Rural Municipality,2820,2598,14720,7270,7450
Jajarkot,Nalagad Municipality,6064,5427,28858,14412,14446
Dolpa,Chharka Tangsong Rural Municipality,320,306,1713,839,874
Dolpa,Dolpo Buddha Rural Municipality,543,542,2462,1206,1256
Dolpa,Jagadulla Rural Municipality,600,511,2581,1289,1292
Dolpa,Kaike Rural Municipality,926,715,4124,1931,2193
Dolpa,Mudkechula Rural Municipality,1206,1078,5875,2975,2900
Dolpa,Shey Phoksundo Rural Municipality,818,805,3717,1775,1942
Dolpa,Thuli Bheri Municipality,2380,1770,10187,5113,5074
Dolpa,Tripurasundari Municipality,2636,2268,12300,6148,6152
Jumla,Chandannath Municipality,5367,4166,20973,10475,10498
Jumla,Guthichaur Rural Municipality,2451,2205,10891,5344,5547
Jumla,Hima Rural Municipality,2104,2062,12804,6388,6416
Jumla,Kanakasundari Rural Municipality,2786,2733,13687,6807,6880
Jumla,Patrasi Rural Municipality,3374,3191,16881,8349,8532
Jumla,Sinja Rural Municipality,2427,2271,12744,6561,6183
Jumla,Tatopani Rural Municipality,3321,3190,15721,7728,7993
Jumla,Tila Rural Municipality,2666,2582,14692,7261,7431
Kalikot,Subha Kalika Rural Municipality,2769,2311,13900,6784,7116
Kalikot,Khandachakra Municipality,4132,3266,23336,11948,11388
Kalikot,Mahawai Rural Municipality,1666,1364,8334,4072,4262
Kalikot,Naraharinath Rural Municipality,4422,3668,22414,11109,11305
Kalikot,Pachaljharana Rural Municipality,2509,2196,13683,6837,6846
Kalikot,Palata Rural Municipality,2895,2683,17658,9018,8640
Kalikot,Raskot Municipality,3076,2836,16469,8059,8410
Kalikot,Sanni Tribeni Rural Municipality,2352,2088,12864,6363,6501
Kalikot,Tilagufa Municipality,3135,2517,16259,8053,8206
Mugu,Chhayanath Rara Municipality,4917,4529,25692,13022,12670
Mugu,Khatyad Rural Municipality,3567,3429,19301,9840,9461
Mugu,Mugum Karmarong Rural Municipality,1399,1364,7301,3506,3795
Mugu,Soru Rural Municipality,2652,2469,14364,7080,7284
Humla,Adanchuli Rural Municipality,1481,1344,8110,4012,4098
Humla,Chankheli Rural Municipality,1196,1175,6625,3367,3258
Humla,Kharpunath Rural Municipality,1545,1330,6975,3465,3510
Humla,Namkha Rural Municipality,868,850,4506,2304,2202
Humla,Sarkegad Rural Municipality,2211,2016,11040,5669,5371
Humla,Simkot Rural Municipality,3007,2512,12130,6101,6029
Humla,Tanjakot Rural Municipality,1176,1086,6110,3064,3046
Bajura,Badimalika Municipality,4082,3143,18432,9253,9179
Bajura,Budhiganga Municipality,4680,3875,20072,9259,10813
Bajura,Budhinanda Municipality,4317,3195,20745,10214,10531
Bajura,Khaptad Chhededaha Rural Municipality,3627,2878,19274,9326,9948
Bajura,Gaumul Rural Municipality,1731,1588,8765,4373,4392
Bajura,Himali Rural Municipality,2092,1716,10503,5284,5219
Bajura,Jagannath Rural Municipality,1965,1687,10205,4938,5267
Bajura,Swami Kartik Khaapar Rural Municipality,2392,2242,13013,6593,6420
Bajura,Tribeni Municipality,4036,3567,17989,8368,9621
Bajhang,Bithadchir Rural Municipality,3273,2728,16854,8301,8553
Bajhang,Bungal Municipality,6242,5357,33487,15885,17602
Bajhang,Chabispathivera Rural Municipality,3125,2792,14515,6770,7745
Bajhang,Durgathali Rural Municipality,2606,2282,11414,5149,6265
Bajhang,JayaPrithivi Municipality,5034,4088,21973,10560,11413
Bajhang,SaiPaal Rural Municipality,456,454,2681,1330,1351
Bajhang,Kedarseu Rural Municipality,4389,3768,21697,10000,11697
Bajhang,Khaptadchhanna Rural Municipality,3100,2453,13751,6238,7513
Bajhang,Masta Rural Municipality,2608,2519,13584,6518,7066
Bajhang,Surma Rural Municipality,1835,1593,11248,5609,5639
Bajhang,Talkot Rural Municipality,2238,2063,11858,5454,6404
Bajhang,Thalara Rural Municipality,3462,2819,15961,7104,8857
Achham,Bannigadhi Jayagadh Rural Municipality,3144,2309,13639,5887,7752
Achham,Chaurpati Rural Municipality,4822,3960,22407,9985,12422
Achham,Dhakari Rural Municipality,4373,3501,22553,10813,11740
Achham,Kamalbazar Municipality,4590,3730,20947,9480,11467
Achham,Mangalsen Municipality,6231,4587,26843,12101,14742
Achham,Mellekh Rural Municipality,4752,3628,23096,10670,12426
Achham,Panchadewal Binayak Municipality,5432,4466,26316,12062,14254
Achham,Ramaroshan Rural Municipality,4959,3876,22676,10759,11917
Achham,Sanphebagar Municipality,6382,4883,25990,11965,14025
Achham,Turmakhad Rural Municipality,5277,4428,24440,11668,12772
Doti,Adharsha Rural Municipality,5449,4204,24911,11141,13770
Doti,Badikedar Rural Municipality,2984,2762,15078,7555,7523
Doti,Bogtan Foodsil Rural Municipality,3198,2774,15912,7488,8424
Doti,Dipayal Silgadi Municipality,8601,6111,36906,17884,19022
Doti,Jorayal Rural Municipality,4432,4092,20364,10251,10113
Doti,K I Singh Rural Municipality,4731,3975,20830,9130,11700
Doti,Purbichauki Rural Municipality,5305,4095,21263,9089,12174
Doti,Sayal Rural Municipality,4311,3139,20125,9221,10904
Doti,Shikhar Municipality,7089,5654,30294,13307,16987
Kailali,Bardagoriya Rural Municipality,8639,8162,37714,17882,19832
Kailali,Bhajani Municipality,11143,10701,53795,25802,27993
Kailali,Chure Rural Municipality,4272,4015,21437,10809,10628
Kailali,Dhangadhi Sub-Metropolitian City,46670,39249,204788,102334,102454
Kailali,Gauriganga Municipality,13693,12984,64327,29730,34597
Kailali,Ghodaghodi Municipality,18636,17796,85982,40223,45759
Kailali,Godawari Municipality,21508,19356,99973,47873,52100
Kailali,Janaki Rural Municipality,11180,10657,49835,23202,26633
Kailali,Joshipur Rural Municipality,7775,7630,37167,17788,19379
Kailali,Kailari Rural Municipality,10793,10458,50457,24485,25972
Kailali,Lamkichuha Municipality,20801,19367,90941,42795,48146
Kailali,Mohanyal Rural Municipality,4450,4226,21285,10375,10910
Kailali,Tikapur Municipality,20953,19091,90115,43354,46761
Kanchanpur,Bedkot Municipality,12780,11904,58250,27055,31195
Kanchanpur,Beldandi Rural Municipality,4727,4471,22041,9939,12102
Kanchanpur,Belauri Municipality,11154,10296,53918,25526,28392
Kanchanpur,Bhimdatta Municipality,27691,24715,123316,59400,63916
Kanchanpur,Krishnapur Municipality,15272,14217,72501,34347,38154
Kanchanpur,Laljhadi Rural Municipality,4822,4666,25271,12282,12989
Kanchanpur,Dodhara Chandani Municipality,9657,8891,43486,19254,24232
Kanchanpur,Punarbas Municipality,13676,12895,61628,28286,33342
Kanchanpur,Shuklaphanta Municipality,12120,11316,54379,24948,29431
Dadeldhura,Alital Rural Municipality,3743,3421,18125,8773,9352
Dadeldhura,Ajaymeru Rural Municipality,3479,2987,15243,7167,8076
Dadeldhura,Amargadhi Municipality,6385,4752,24792,12515,12277
Dadeldhura,Bhageshwar Rural Municipality,2812,2362,13112,6290,6822
Dadeldhura,Ganayapdhura Rural Municipality,3360,2788,13655,6158,7497
Dadeldhura,Nawadurga Rural Municipality,4335,3634,18745,8194,10551
Dadeldhura,Parashuram Municipality,7494,6559,35748,16833,18915
Baitadi,Dasharathchanda Municipality,7339,6095,31786,15053,16733
Baitadi,Dilasaini Rural Municipality,4925,3930,23233,11347,11886
Baitadi,Dogadakedar Rural Municipality,4774,3998,23619,10854,12765
Baitadi,Melauli Municipality,4626,3890,21000,9735,11265
Baitadi,Pancheshwar Rural Municipality,3617,2986,17780,8130,9650
Baitadi,Patan Municipality,6276,5195,28360,13415,14945
Baitadi,Purchaudi Municipality,7236,6417,38666,18701,19965
Baitadi,Shivanath Rural Municipality,3435,2919,18247,8489,9758
Baitadi,Sigas Rural Municipality,4367,3652,23479,11153,12326
Baitadi,Surnaya Rural Municipality,3877,3206,18230,8549,9681
Darchula,Apihimal Rural Municipality,1363,1256,7023,3438,3585
Darchula,Byas Rural Municipality,2361,2168,10205,4884,5321
Darchula,Dunhu Rural Municipality,2293,1906,9912,4580,5332
Darchula,Lekam Rural Municipality,3045,2645,13638,6520,7118
Darchula,Mahakali Municipality,6080,4596,24572,12072,12500
Darchula,Malikaarjun Rural Municipality,3241,2993,15754,7631,8123
Darchula,Marma Rural Municipality,3086,2704,15586,7551,8035
Darchula,Naugad Rural Municipality,3156,2920,16434,7988,8446
Darchula,Shailyashikhar Municipality,4561,4012,21932,10685,11247
